Date,Open,High,Low,Close,AdjustedClose,Volume,DividendAmount
2011-01-31,181.37,191.6,166.9,169.64,169.64,113611300,0
2007-08-31,78.1,80.8,70.05,79.91,79.91,175514000,0
2000-12-29,24.94,27.63,14.88,15.56,15.56,202112900,0
2018-04-30,1417.62,1638.1,1352.88,1566.13,1566.13,129945743,0
2017-02-28,829.21,860.86,803,845.04,845.04,71748231,0
2016-11-30,799,800.84,710.1,750.57,750.57,110085967,0
2016-02-29,578.15,581.8,474,552.52,552.52,124144797,0
2018-07-31,1682.7,1880.05,1678.06,1777.44,1777.44,97629820,0
2017-05-31,927.8,1001.2,927.8,994.62,994.62,75223469,0
2010-10-29,157.06,171.99,151.4,165.23,165.23,142883500,0
2000-09-29,42.13,49.63,35.5,38.44,38.44,133739700,0
2018-11-30,1623.53,1784,1420,1690.17,1690.17,139290208,0
2016-08-31,759.87,774.98,750.35,769.16,769.16,50000397,0
2001-01-31,15.81,22.38,13.56,17.31,17.31,210486800,0
2000-08-31,30.63,43.97,29.31,41.5,41.5,144464700,0
2017-07-31,972.79,1083.31,951.0001,987.78,987.78,76564735,0
2013-06-28,268.96,283.34,262.95,277.69,277.69,58575800,0
2010-07-30,108.9,124.88,105.8,117.89,117.89,175326200,0
2004-03-31,42.88,45.06,39.15,43.28,43.28,154770500,0
2012-03-30,179.89,209.85,176.58,202.51,202.51,112975100,0
2011-03-31,173.53,181.57,160.59,180.13,180.13,118979100,0
2010-03-31,118.85,138.19,117.53,135.77,135.77,158042600,0
2010-02-26,123.18,124.86,113.82,118.4,118.4,210145800,0
2008-05-30,78.74,84.75,71.56,81.62,81.62,152573200,0
2008-04-30,74.925,82.64,70.65,78.63,78.63,197849400,0
2018-02-28,1445,1528.7,1265.93,1512.45,1512.45,133362428,0
2015-11-30,627.13,682.77,620.41,664.8,664.8,87301503,0
2013-08-30,303.08,306.21,279.33,280.98,280.98,43773900,0
2011-06-30,196.06,206.25,181.59,204.49,204.49,95563700,0
2019-04-30,1800.11,1956.34,1798.73,1926.52,1926.52,81293632,0
2009-06-30,78.21,88.56,76.25,83.66,83.66,152085400,0
2009-05-29,80.38,83.6,73.1,77.99,77.99,137603400,0
2010-09-30,126.36,161.78,126.17,157.06,157.06,134321000,0
2007-06-29,68.9,74.72,66.71,68.41,68.41,238788700,0
2000-06-30,48.88,58.13,32.47,36.31,36.31,203140900,0
