Date,Open,High,Low,Close,AdjustedClose,Volume,DividendAmount
2020-09-28,132.76,137.98,103.1,114.96,114.96,3644057373,0
2010-08-31,260.44,264.28,235.56,243.1,7.5017,342468600,0
2005-01-31,64.78,77.89,62.6,76.9,1.1865,459075800,0
2019-01-31,154.89,169,142,166.44,40.7108,828099179,0
2019-07-31,203.17,221.37,198.41,213.04,52.5367,473957094,0
2010-07-30,254.3,265.99,239.6,257.25,7.9383,559632300,0
2000-07-31,52.13,60.63,46.88,50.81,0.784,102620900,0
2020-05-29,286.25,324.24,285.85,317.94,79.3386,701660022,0
2015-01-30,111.39,120,104.63,117.16,26.7256,1304879185,0
2011-02-28,341.3,364.9,337.72,353.21,10.8995,331998200,0
2010-12-31,315.27,326.66,314.89,322.56,9.9537,249044100,0
2017-06-30,153.17,155.98,142.2,144.02,34.4419,664986406,0
2010-01-29,213.43,215.59,190.25,192.063,5.9267,541749800,0
2003-08-29,21,22.85,19.42,22.61,0.3489,76920800,0
2017-05-31,145.1,156.65,144.27,152.76,36.532,635292989,0
2018-10-31,227.95,233.47,206.09,218.86,53.3459,789748068,0
2004-02-27,22.46,24.1,21.7,23.92,0.3691,87893400,0
2002-04-30,24.7,26.17,23,24.27,0.3745,114693500,0
2001-08-31,19.01,19.9,17.28,18.55,0.2862,91595700,0
2018-11-30,219.05,222.36,170.26,178.58,43.6802,961321947,0
2015-06-30,131.2,131.39,124.48,125.425,28.8423,878606841,0
2014-05-30,592,644.17,580.33,633,20.4373,204845300,0
2008-09-30,172.4,173.5,100.59,113.66,3.5074,859555800,0
2008-03-31,124.44,145.74,118,143.5,4.4282,818831200,0
2002-03-28,21.93,25.3,21.82,23.67,0.3652,94974700,0
2001-02-28,20.69,21.94,18,18.25,0.2816,125424400,0
2018-07-31,183.82,195.96,183.42,190.29,46.2195,393843881,0
2019-09-30,206.43,226.42,204.22,223.97,55.4436,547408488,0
2011-09-30,385.82,422.86,366.48,381.32,11.7669,427766000,0
2020-07-31,365.12,425.66,356.58,425.04,106.0643,755162226,0
2005-11-30,57.24,71.07,56.87,67.82,2.0928,480586700,0
2004-08-31,31.18,35.18,29.7,34.49,0.5322,143060100,0
2002-05-31,24.29,25.98,22.14,23.3,0.3595,106717100,0
2013-11-29,524.02,558.33,512.38,556.07,17.748,186612700,0
2003-10-31,20.75,25.011,20.19,22.89,0.3532,125717700,0
2007-06-29,121.1,127.61,115.4,122.04,3.766,831412200,0
